category_large,category_small,category_name,total_canonical_nodes,strong_available_nodes,strong_unsupported_nodes,s_rank_nodes,a_rank_nodes
A,1,解剖学,137,1,136,4,0
A,2,生理学,149,1,148,4,0
A,3,心理学,15,0,15,2,0
A,4,人間発達学,28,0,28,2,0
A,5,教育学,5,0,5,1,1
A,6,医学概論,61,2,59,3,1
B,7,病理学,63,0,63,3,4
B,8,内科学,145,1,144,6,26
B,9,神経医学,111,0,111,6,29
B,10,精神医学,33,0,33,2,0
B,11,小児学,43,0,43,4,13
B,12,臨床心理学,13,0,13,2,0
C,13,基礎運動学,64,1,63,4,0
C,14,臨床運動学,4,0,4,1,0
C,15,動作分析学,95,3,92,6,27
C,16,運動器,102,1,101,7,21
C,17,理学療法評価各論,155,1,154,8,28
C,18,理学療法治療各論,286,2,284,10,132
